feature_i,feature_j,mean_abs_pearson,mean_abs_spearman,days_scored,expected_development_days,available_development_days,missing_development_days
PB4_T5,PB7_T5,0.7068244256017954,0.7748717370406607,70,85,70,15
PB4_T5,PB7_T6,0.7819917736825646,0.8591750897111113,70,85,70,15
PB4_T5,PB7_T7,0.778978344088826,0.8036164985771594,70,85,70,15
PB4_T5,PB7_T8,0.662960285777081,0.6561611270179912,70,85,70,15
PB4_T5,PB7_T9,0.5866744688266379,0.5683507653791814,70,85,70,15
PB4_T5,PB7_T10,0.48489030141783035,0.46213435371705075,70,85,70,15
PB4_T5,PB7_T11,0.4514402782313794,0.4276547478861468,70,85,70,15
PB4_T5,PB7_T12,0.3448573752979893,0.32017748630859744,70,85,70,15
PB4_T5,PB8_T1,0.13912438955839848,0.14288682933705293,70,85,70,15
PB4_T5,PB8_T2,0.21543695001259106,0.22084595113864317,70,85,70,15
PB4_T5,PB8_T3,0.3935030871266055,0.40615667565813546,70,85,70,15
PB4_T5,PB8_T4,0.5658600316542342,0.5942319008190302,70,85,70,15
PB4_T5,PB8_T5,0.7005518785582299,0.7528810430260827,70,85,70,15
PB4_T5,PB8_T6,0.7745488680599435,0.8377593513081568,70,85,70,15
PB4_T5,PB8_T7,0.7381925866157535,0.7966057510445755,70,85,70,15
PB4_T5,PB8_T8,0.6096497791697004,0.6700092682601674,70,85,70,15
PB4_T5,PB8_T9,0.53251254345995,0.595077718380323,70,85,70,15
PB4_T5,PB8_T10,0.4364252727523159,0.5020004849318077,70,85,70,15
PB4_T5,PB8_T11,0.4066607613059224,0.4719396446105905,70,85,70,15
PB4_T5,PB8_T12,0.3113847399814118,0.37624630811356075,70,85,70,15
PB4_T5,PB9_T1,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T2,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T3,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T4,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T5,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T6,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T7,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T8,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T9,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T10,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T11,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB9_T12,0.14593598199693333,0.14748243133496383,70,85,70,15
PB4_T5,PB10_T1,0.13817720054756105,0.1399486461207076,70,85,70,15
PB4_T5,PB10_T2,0.1298058711827497,0.13169225482443186,70,85,70,15
PB4_T5,PB10_T3,0.10141664815903803,0.10124616604772534,70,85,70,15
PB4_T5,PB10_T4,0.06560935562653297,0.06212095587543961,70,85,70,15
PB4_T5,PB10_T5,0.05080363827238797,0.046996366995764594,70,85,70,15
PB4_T5,PB10_T6,0.05827555548520658,0.05582316200415856,70,85,70,15
PB4_T5,PB10_T7,0.08360326221471644,0.08708567444628272,70,85,70,15
PB4_T5,PB10_T8,0.09653345196101473,0.10197546911745628,70,85,70,15
PB4_T5,PB10_T9,0.09982707278208991,0.10382375523334755,70,85,70,15
PB4_T5,PB10_T10,0.09686607263556986,0.10637964853062938,70,85,70,15
PB4_T5,PB10_T11,0.09474541772021992,0.10387163889094957,70,85,70,15
PB4_T5,PB10_T12,0.09218072259167007,0.10236950711402341,70,85,70,15
PB4_T5,PB11_T1,0.14095306662602208,0.1420126442437528,70,85,70,15
PB4_T5,PB11_T2,0.1347962137449508,0.13517330436816896,70,85,70,15
PB4_T5,PB11_T3,0.10923469421318587,0.10679697291839335,70,85,70,15
PB4_T5,PB11_T4,0.07509566756352579,0.069837272612193,70,85,70,15
PB4_T5,PB11_T5,0.050243077217275355,0.048524214353143205,70,85,70,15
PB4_T5,PB11_T6,0.050518739025765785,0.052862136502269404,70,85,70,15
PB4_T5,PB11_T7,0.07014502548664248,0.07900387409496572,70,85,70,15
PB4_T5,PB11_T8,0.07731474274959127,0.08942598461870663,70,85,70,15
PB4_T5,PB11_T9,0.08337685802059622,0.09687022297514669,70,85,70,15
PB4_T5,PB11_T10,0.0834622108381209,0.09441374553302526,70,85,70,15
PB4_T5,PB11_T11,0.0843536101864621,0.09591928227959226,70,85,70,15
PB4_T5,PB11_T12,0.090693335675616,0.10026780088770033,70,85,70,15
PB4_T5,PB12_T1,0.23895634132099422,0.20971202953321214,70,85,70,15
PB4_T5,PB12_T2,0.3362789506514395,0.3018431481191738,70,85,70,15
PB4_T5,PB12_T3,0.5800495295869268,0.5392394974685222,70,85,70,15
PB4_T5,PB12_T4,0.8138685014613418,0.7813934542182588,70,85,70,15
PB4_T5,PB12_T5,0.9999997148516757,1.0,70,85,70,15
PB4_T5,PB12_T6,0.8635021516585959,0.8362140178356062,70,85,70,15
PB4_T5,PB12_T7,0.5458863768446296,0.5130573048263333,70,85,70,15
PB4_T5,PB12_T8,0.3839519994163423,0.35955663429747364,70,85,70,15
PB4_T5,PB12_T9,0.31745959632782494,0.3025582064654459,70,85,70,15
PB4_T5,PB12_T10,0.23959651443741015,0.224351914951433,70,85,70,15
PB4_T5,PB12_T11,0.22122321475260343,0.20813064761293978,70,85,70,15
PB4_T5,PB12_T12,0.15040149323272553,0.15180222141541533,70,85,70,15
PB4_T5,PB13_T1,0.23895464878815043,0.20940071758485615,70,85,70,15
PB4_T5,PB13_T2,0.33627753740511585,0.3016165034798492,70,85,70,15
PB4_T5,PB13_T3,0.580048750449496,0.5391043146343025,70,85,70,15
PB4_T5,PB13_T4,0.8138663512596538,0.7813075320295968,70,85,70,15
PB4_T5,PB13_T5,0.9999998833200027,0.9999836320078004,70,85,70,15
PB4_T5,PB13_T6,0.8635068882745026,0.8363107035403055,70,85,70,15
PB4_T5,PB13_T7,0.5459034748310261,0.5131528272578665,70,85,70,15
PB4_T5,PB13_T8,0.383973530501603,0.35965904982430325,70,85,70,15
PB4_T5,PB13_T9,0.3174874877291384,0.30265517032844286,70,85,70,15
PB4_T5,PB13_T10,0.23963170397751837,0.22447677729185447,70,85,70,15
PB4_T5,PB13_T11,0.22125634144928352,0.2082242330479988,70,85,70,15
PB4_T5,PB13_T12,0.15045440487931927,0.15188540238569345,70,85,70,15
PB4_T5,PB14_T1,0.1797794234350977,0.18872380082305504,70,85,70,15
PB4_T5,PB14_T2,0.27439505578593565,0.28585169793243076,70,85,70,15
PB4_T5,PB14_T3,0.5134979082692106,0.5237586413753972,70,85,70,15
PB4_T5,PB14_T4,0.7486478447926983,0.7657015077672578,70,85,70,15
PB4_T5,PB14_T5,0.9425231350084912,0.9821393510689775,70,85,70,15
PB4_T5,PB14_T6,0.8215595901023204,0.830827104770823,70,85,70,15
PB4_T5,PB14_T7,0.5446059108748021,0.5222583588303904,70,85,70,15
PB4_T5,PB14_T8,0.3928932176247406,0.36971512948946533,70,85,70,15
PB4_T5,PB14_T9,0.3279504344593941,0.3102127820062856,70,85,70,15
PB4_T5,PB14_T10,0.2481211927441764,0.23010361218370098,70,85,70,15
PB4_T5,PB14_T11,0.22979421364105243,0.21545127832889724,70,85,70,15
PB4_T5,PB14_T12,0.15920120197523957,0.15948157272945415,70,85,70,15
PB4_T5,PB15_T1,0.13859114089701724,0.1402436977252134,70,85,70,15
PB4_T5,PB15_T2,0.22015730899792768,0.22237740830557484,70,85,70,15
PB4_T5,PB15_T3,0.41305894660310727,0.42244684940341104,70,85,70,15
PB4_T5,PB15_T4,0.6017546322297918,0.6261686670766687,70,85,70,15
PB4_T5,PB15_T5,0.7535387132686173,0.8030254249333492,70,85,70,15
PB4_T5,PB15_T6,0.7978614449522968,0.8562629994903566,70,85,70,15
PB4_T5,PB15_T7,0.716947298546327,0.7554359009696662,70,85,70,15
PB4_T5,PB15_T8,0.5912304416100518,0.6202864359926255,70,85,70,15
PB4_T5,PB15_T9,0.520528500584609,0.5478217340762215,70,85,70,15
PB4_T5,PB15_T10,0.43078471624441966,0.4570437295307064,70,85,70,15
PB4_T5,PB15_T11,0.4032049900044704,0.42963044665328604,70,85,70,15
PB4_T5,PB15_T12,0.31297443958423393,0.3416327404409824,70,85,70,15
PB4_T5,PB16_T1,0.17173586473097166,0.17367128866356119,70,85,70,15
PB4_T5,PB16_T2,0.24752408285894648,0.25233390465989075,70,85,70,15
PB4_T5,PB16_T3,0.4292583293685264,0.4409451412016033,70,85,70,15
PB4_T5,PB16_T4,0.6139503751335071,0.6398154167387732,70,85,70,15
PB4_T5,PB16_T5,0.7642116953595371,0.814825984184448,70,85,70,15
PB4_T5,PB16_T6,0.8019347183712483,0.8599354610335381,70,85,70,15
PB4_T5,PB16_T7,0.7136237002635899,0.7517215529612077,70,85,70,15
PB4_T5,PB16_T8,0.5863957191544064,0.6155607170854893,70,85,70,15
PB4_T5,PB16_T9,0.5158288140991085,0.5431164583377781,70,85,70,15
PB4_T5,PB16_T10,0.42639807921458267,0.4524587339749338,70,85,70,15
PB4_T5,PB16_T11,0.39890131703683723,0.4252195736435452,70,85,70,15
PB4_T5,PB16_T12,0.3092441281961516,0.33765960095135966,70,85,70,15
PB4_T5,PB17_T1,0.1385911408970172,0.1402436977252134,70,85,70,15
PB4_T5,PB17_T2,0.22015730899792768,0.22237740830557484,70,85,70,15
PB4_T5,PB17_T3,0.41305894660310727,0.42244684940341104,70,85,70,15
PB4_T5,PB17_T4,0.6017546322297916,0.6261686670766687,70,85,70,15
PB4_T5,PB17_T5,0.7535387132686174,0.8030254249333492,70,85,70,15
PB4_T5,PB17_T6,0.7978614449522968,0.8562629994903566,70,85,70,15
PB4_T5,PB17_T7,0.716947298546327,0.7554359009696662,70,85,70,15
PB4_T5,PB17_T8,0.5912304416100519,0.6202864359926255,70,85,70,15
PB4_T5,PB17_T9,0.520528500584609,0.5478217340762215,70,85,70,15
PB4_T5,PB17_T10,0.43078471624441966,0.4570437295307064,70,85,70,15
PB4_T5,PB17_T11,0.40320499000447035,0.42963044665328604,70,85,70,15
PB4_T5,PB17_T12,0.31297443958423393,0.3416327404409824,70,85,70,15
PB4_T5,PB18_T1,0.14338573480297861,0.14853563941977202,70,85,70,15
PB4_T5,PB18_T2,0.21657822006178548,0.22615604593103086,70,85,70,15
PB4_T5,PB18_T3,0.3924786337602619,0.41417172286162307,70,85,70,15
PB4_T5,PB18_T4,0.5613947589153223,0.6060505363444367,70,85,70,15
PB4_T5,PB18_T5,0.6927069874691623,0.7696857504949891,70,85,70,15
PB4_T5,PB18_T6,0.7634843552863892,0.8518666255464437,70,85,70,15
PB4_T5,PB18_T7,0.7811275185953261,0.8056156030204066,70,85,70,15
PB4_T5,PB18_T8,0.6706614733326621,0.6579707758046504,70,85,70,15
PB4_T5,PB18_T9,0.5932167087366275,0.5683358636482652,70,85,70,15
PB4_T5,PB18_T10,0.48707534953107906,0.45960571447069015,70,85,70,15
PB4_T5,PB18_T11,0.4532135783223679,0.4252285349377863,70,85,70,15
PB4_T5,PB18_T12,0.343417208643881,0.316691503488357,70,85,70,15
PB4_T5,VB1_T1,0.03043450665125336,0.03361552423122952,70,85,70,15
PB4_T5,VB1_T2,0.03456928078006971,0.035912652547603514,70,85,70,15
PB4_T5,VB1_T3,0.0424490097449029,0.040680509299239685,70,85,70,15
PB4_T5,VB1_T4,0.06508040397482734,0.0545302805993657,70,85,70,15
PB4_T5,VB1_T5,0.09079142542507358,0.08308724999965238,70,85,70,15
PB4_T5,VB1_T6,0.09996426918993258,0.08762724770383594,70,85,70,15
PB4_T5,VB1_T7,0.10129870997857603,0.07773902927367285,70,85,70,15
PB4_T5,VB1_T8,0.08536789964823847,0.07310682703820848,70,85,70,15
PB4_T5,VB1_T9,0.0763981350485323,0.06415134488131195,70,85,70,15
PB4_T5,VB1_T10,0.06979109654668253,0.05909152039552237,70,85,70,15
PB4_T5,VB1_T11,0.06856457767791165,0.06048692015582354,70,85,70,15
PB4_T5,VB1_T12,0.06393416916366725,0.06511106236836854,70,85,70,15
PB4_T5,VB2_T1,0.10836108243685455,0.07776288062442056,70,85,70,15
PB4_T5,VB2_T2,0.12993427393921528,0.09345369473674205,70,85,70,15
PB4_T5,VB2_T3,0.1582574351445981,0.10893023608594811,70,85,70,15
PB4_T5,VB2_T4,0.1593254577830201,0.109097099337047,70,85,70,15
PB4_T5,VB2_T5,0.140368649432738,0.09662348898897394,70,85,70,15
PB4_T5,VB2_T6,0.11105665048202827,0.07962111396166016,70,85,70,15
