feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
PV1_T6,PV,300,"{""mean_pearson_ic"": 0.0018192760340384, ""pearson_fdr_qvalue"": 0.793436391625002, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.4714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0018192760340384,0.4714285714285714,False,0.793436391625002,70
PV1_T7,PV,300,"{""mean_pearson_ic"": 0.0099785392077571, ""pearson_fdr_qvalue"": 0.249958629717158, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.6}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0099785392077571,0.6,False,0.249958629717158,70
PV1_T8,PV,300,"{""mean_pearson_ic"": -0.0006547651307495, ""pearson_fdr_qvalue"": 0.9567046711106528, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0006547651307495,0.5,False,0.9567046711106528,70
PV1_T9,PV,300,"{""mean_pearson_ic"": 0.0086304689392475, ""pearson_fdr_qvalue"": 0.5134646308295079, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5857142857142857}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0086304689392475,0.5857142857142857,False,0.5134646308295079,70
PV2,PV,300,"{""mean_pearson_ic"": -0.0694780142902618, ""pearson_fdr_qvalue"": 7.016832794436165e-05, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6714285714285714}",excluded,False,pearson_pct_same_sign<0.70,-0.0694780142902618,0.6714285714285714,True,7.016832794436165e-05,70
PV3_B1_T1,PV,300,"{""mean_pearson_ic"": -0.0414360437969486, ""pearson_fdr_qvalue"": 4.766508164798199e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7857142857142857}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0414360437969486,0.7857142857142857,True,4.766508164798199e-09,70
PV3_B1_T10,PV,300,"{""mean_pearson_ic"": -0.0078799235569205, ""pearson_fdr_qvalue"": 0.0091899412080655, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7142857142857143}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0078799235569205,0.7142857142857143,True,0.0091899412080655,70
PV3_B1_T11,PV,300,"{""mean_pearson_ic"": -0.0075842491945125, ""pearson_fdr_qvalue"": 0.0143776182804076, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0075842491945125,0.7,True,0.0143776182804076,70
PV3_B1_T12,PV,300,"{""mean_pearson_ic"": -0.0069169320603737, ""pearson_fdr_qvalue"": 0.0672668325789302, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.6714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0069169320603737,0.6714285714285714,False,0.0672668325789302,70
PV3_B1_T2,PV,300,"{""mean_pearson_ic"": -0.0340263946244042, ""pearson_fdr_qvalue"": 6.662387620400908e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7857142857142857}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0340263946244042,0.7857142857142857,True,6.662387620400908e-09,70
PV3_B1_T3,PV,300,"{""mean_pearson_ic"": -0.0250624613927826, ""pearson_fdr_qvalue"": 2.1654250598273304e-08, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0250624613927826,0.8,True,2.1654250598273304e-08,70
